customer_id,tenure_months,avg_monthly_transactions,avg_transaction_amount_usd,days_since_last_transaction,support_tickets_last_90d,avg_satisfaction_score,used_promo_code,referred_by_friend,country,device,churned
502284,8,3.12,195.47,46,1,7.8,1,0,Peru,Android,1
501575,19,5.11,176.65,34,0,,0,0,Republica Dominicana,Android,0
501699,8,1.55,113.73,51,2,6.6,1,1,Espana,Android,0
502090,14,4.52,391.5,119,1,5.7,0,0,Mexico,Android,1
501087,20,3.15,565.83,73,1,5.5,0,0,Peru,iOS,0
500270,4,2.84,526.12,2,0,,1,0,Republica Dominicana,Android,0
504312,18,2.3,113.82,7,0,,0,0,Mexico,Android,0
501147,2,0.47,382.4,42,0,,0,0,Espana,Android,0
502338,5,1.08,368.55,13,0,,0,0,Colombia,Android,0
503904,3,4.68,238.41,38,0,,1,0,Colombia,iOS,0
501654,18,1.2,133.89,18,1,8.2,1,0,Colombia,Android,0
502608,14,5.8,404.96,23,0,,0,0,Mexico,Android,0
505638,11,0.53,286.93,46,1,7.7,1,1,Chile,Android,1
503259,1,1.13,92.64,84,0,,0,0,Colombia,Android,0
504982,12,1.25,244.73,5,1,8.2,1,0,Chile,Android,0
504548,2,0.98,82.73,41,1,7.9,0,1,Chile,iOS,1
500363,4,0.53,298.22,12,0,,0,0,Espana,Android,0
503230,33,2.26,416.41,35,2,6.2,0,0,Mexico,Android,1
501582,11,0.61,199.19,49,0,,0,1,Peru,Android,0
503629,3,2.7,228.3,18,0,,1,0,Espana,iOS,0
504847,7,3.26,169.95,14,1,7.9,1,0,Peru,iOS,0
505063,7,4.22,760.05,85,0,,0,1,Espana,Android,0
504656,17,2.4,66.47,25,0,,1,0,Colombia,Android,1
500703,14,1.21,463.12,21,1,3.1,0,1,Espana,Android,0
501518,18,6.36,98.97,86,0,,0,0,Mexico,iOS,0
503772,8,2.65,369.64,29,1,5.7,0,0,Mexico,iOS,1
502128,20,1.84,304.25,58,0,,0,0,Chile,Android,0
505023,31,1.17,68.22,78,0,,0,0,Republica Dominicana,Android,0
500030,15,2.25,604.86,10,0,,1,0,Colombia,Android,0
505136,10,5.92,309.51,26,0,,0,0,Argentina,Android,1
504710,12,1.58,226.83,63,0,,1,0,Mexico,Android,1
505813,13,2.87,191.78,4,0,,0,0,Colombia,iOS,0
505734,7,2.66,228.07,125,1,4.5,0,0,Mexico,Android,1
501286,14,1.83,283.96,33,0,,0,0,Colombia,iOS,0
501614,5,0.67,180.69,41,0,,0,0,Chile,iOS,0
500907,16,0.81,263.6,34,1,9.6,0,0,Colombia,iOS,0
501441,19,1.08,180.56,40,1,5.5,0,0,Mexico,iOS,0
500932,10,3.09,605.4,20,1,5.8,0,0,Peru,iOS,1
502753,27,1.27,472.53,18,0,,0,0,Argentina,iOS,0
503099,2,2.26,256.86,23,0,,0,0,Colombia,Android,0
501801,16,3.66,134.97,50,1,5.9,1,0,Panama,iOS,0
505330,7,1.17,123.47,16,1,5.2,1,1,Argentina,Android,0
500316,8,1.22,15.0,72,1,7.1,1,0,Mexico,Android,0
503390,5,3.84,86.89,29,0,,0,0,Mexico,iOS,0
501601,9,3.24,379.88,25,1,9.1,1,0,Espana,Android,0
505731,30,0.53,160.02,10,0,,0,1,Panama,Android,0
501944,15,6.31,588.81,16,0,,0,0,Mexico,iOS,1
503187,11,0.75,224.48,33,0,,1,0,Chile,Android,0
505672,14,1.64,99.27,50,2,8.9,1,1,Colombia,Android,1
501099,11,3.97,386.44,3,0,,1,0,Colombia,iOS,0
502730,22,4.41,220.77,52,0,,0,1,Chile,iOS,1
501358,6,6.88,538.46,1,3,7.8,0,0,Espana,Android,0
501706,5,0.77,508.32,16,0,,0,0,Mexico,iOS,0
504599,35,5.63,139.94,19,1,6.2,0,0,Argentina,Android,0
501367,5,2.1,277.43,51,1,3.6,0,0,Espana,Android,0
501649,4,2.78,272.19,9,0,,1,0,Republica Dominicana,iOS,0
501041,22,0.66,206.44,32,3,6.3,0,0,Colombia,Android,1
505001,23,1.5,200.82,12,1,7.1,1,1,Republica Dominicana,Android,0
504788,4,2.88,434.33,70,0,,0,0,Chile,Android,0
503526,5,1.8,143.31,12,1,8.9,0,0,Mexico,iOS,0
502713,12,2.9,184.76,17,0,,0,0,Mexico,iOS,0
504883,9,3.83,69.97,39,1,8.2,1,1,Mexico,Android,0
505057,32,6.46,379.84,9,0,,1,0,Chile,iOS,0
505165,20,8.05,432.96,9,1,4.6,0,0,Colombia,Android,0
503314,12,1.38,210.27,10,0,,0,0,Argentina,Android,0
500061,6,6.2,144.64,8,0,,0,0,Mexico,Android,0
504694,14,2.27,190.01,36,1,6.0,0,0,Espana,Android,1
501905,2,0.79,480.29,2,1,7.7,0,0,Colombia,Android,0
500837,5,1.52,278.16,56,0,,0,0,Mexico,Android,0
504167,21,4.59,259.04,68,1,6.1,1,0,Argentina,iOS,0
500702,19,1.88,379.04,24,0,,1,1,Espana,Android,0
505123,5,3.32,347.04,18,0,,0,0,Chile,Android,0
504037,5,0.81,124.53,26,0,,1,0,Mexico,Android,0
500839,4,2.83,584.22,30,1,5.3,0,0,Espana,iOS,1
500626,4,0.1,217.59,48,2,5.0,0,0,Espana,Android,1
504767,11,3.03,609.85,82,1,10.0,1,1,Panama,Android,0
502136,15,1.8,104.87,17,4,8.9,1,0,Chile,Android,0
503828,3,1.52,111.23,44,0,,1,0,Mexico,Android,0
505750,14,3.59,206.51,52,0,,0,0,Colombia,Android,0
505858,14,1.04,231.13,32,1,10.0,0,0,Argentina,Android,0
504421,29,0.82,243.31,75,0,,0,0,Colombia,Android,0
504952,16,0.9,232.3,23,1,9.5,0,0,Espana,iOS,0
504445,14,1.58,168.46,26,0,,0,0,Republica Dominicana,iOS,0
503015,20,3.74,263.51,19,0,,0,1,Chile,Android,0
501247,12,5.85,167.31,19,0,,1,1,Espana,iOS,0
505186,42,4.44,468.83,27,1,8.8,1,0,Espana,Android,0
505710,17,1.55,156.8,22,1,6.9,0,0,Espana,Android,0
500835,19,3.25,276.58,44,0,,1,0,Espana,iOS,0
504130,12,2.2,231.41,36,0,,0,0,Mexico,Android,1
501002,13,4.04,297.37,46,0,,0,0,Argentina,iOS,1
502934,24,1.67,194.85,5,0,,1,0,Peru,iOS,0
502747,11,3.13,177.61,178,0,,1,1,Mexico,Android,0
502028,6,2.58,170.49,20,0,,0,0,Panama,Android,0
502861,21,2.0,102.13,12,0,,0,0,Colombia,Android,0
502743,20,1.91,234.36,11,0,,0,0,Republica Dominicana,Android,0
504020,5,1.88,226.97,160,1,5.7,0,0,Republica Dominicana,Android,1
503217,5,1.65,296.77,25,2,6.8,0,0,Panama,iOS,0
503489,6,3.18,171.24,55,0,,0,0,Panama,iOS,1
503429,38,3.35,107.17,24,0,,0,1,Chile,iOS,0
502640,19,2.02,100.41,80,1,9.4,0,0,Colombia,Android,1
501264,8,0.97,138.32,9,5,7.1,1,0,Espana,Android,1
500660,12,2.19,270.71,3,1,5.6,0,0,Argentina,Android,0
504835,22,1.35,417.69,22,0,,0,0,Peru,Android,1
500965,17,2.93,159.55,20,2,5.7,1,0,Espana,iOS,0
503089,14,5.89,309.18,32,1,6.3,1,0,Peru,iOS,0
503358,14,0.19,323.01,35,0,,1,0,Colombia,iOS,0
504585,16,7.9,60.04,75,1,6.8,1,0,Espana,iOS,0
500160,11,1.53,264.19,6,0,,1,0,Panama,Android,0
502622,3,1.6,286.49,51,1,9.6,0,0,Republica Dominicana,Android,1
500257,5,4.12,588.83,20,0,,1,0,Espana,Android,0
503927,3,0.51,227.26,81,0,,0,0,Espana,Android,0
500515,6,1.21,731.24,5,0,,1,1,Mexico,Android,0
501126,4,1.02,605.16,59,1,7.5,0,0,Republica Dominicana,Android,0
501571,12,1.34,380.38,70,0,,0,1,Mexico,iOS,1
500412,46,3.47,722.69,23,1,6.6,1,1,Espana,Android,0
503755,9,4.05,64.87,9,1,8.2,0,0,Chile,iOS,0
502563,11,4.09,33.14,9,0,,1,0,Colombia,Android,0
502249,10,6.39,226.54,26,0,,1,0,Espana,Android,0
504378,12,0.29,346.34,51,1,5.5,1,0,Chile,Android,1
500913,7,0.5,80.37,15,0,,0,0,Chile,iOS,1
504692,17,1.01,243.68,89,2,3.7,0,0,Colombia,iOS,1
501022,24,2.42,65.48,16,1,5.7,0,0,Peru,iOS,0
505498,11,2.74,510.14,27,1,9.1,0,0,Peru,Android,0
500620,23,4.4,176.17,22,1,7.9,0,0,Mexico,Android,0
500303,22,1.2,232.56,74,1,10.0,1,0,Mexico,iOS,0
503209,11,4.07,79.62,30,1,7.8,0,0,Espana,Android,0
505542,10,6.84,228.86,39,2,8.7,1,1,Mexico,Android,0
503300,11,1.0,78.61,23,0,,0,0,Mexico,iOS,0
504331,10,4.1,124.81,18,1,6.9,1,0,Republica Dominicana,iOS,0
501405,27,4.43,410.08,33,0,,1,0,Espana,Android,0
502440,17,2.26,54.63,11,1,8.1,0,0,Mexico,iOS,0
501313,7,2.18,361.49,11,2,4.7,0,0,Argentina,Android,1
501496,13,2.04,135.97,7,1,8.5,0,1,Mexico,Android,0
504265,17,3.28,185.47,12,2,4.1,0,1,Mexico,iOS,0
500368,31,1.8,149.25,65,2,7.1,1,0,Peru,iOS,0
501942,8,2.58,346.5,26,1,4.8,0,1,Argentina,Android,0
505583,4,3.25,263.45,7,1,7.1,1,0,Peru,iOS,0
505629,5,1.81,369.61,19,2,7.7,0,0,Panama,Android,0
503364,5,1.38,76.59,4,0,,0,0,Panama,iOS,0
504827,8,5.73,147.97,14,1,5.9,1,0,Republica Dominicana,Android,0
501648,22,3.16,236.7,67,0,,0,0,Panama,iOS,0
502610,30,0.52,169.79,25,1,4.7,0,0,Espana,Android,0
504935,6,1.86,265.24,24,1,5.3,0,0,Espana,iOS,0
502166,1,2.2,75.8,4,1,4.1,0,0,Colombia,Android,0
504005,14,2.12,195.85,41,0,,1,0,Panama,Android,0
502509,14,2.44,66.08,13,0,,0,0,Colombia,iOS,0
502589,1,7.71,154.01,79,0,,0,0,Mexico,Android,0
503597,18,1.92,335.98,5,0,,0,0,Peru,Android,0
503568,8,0.47,342.72,30,1,7.0,0,0,Espana,iOS,0
503295,29,0.5,190.9,87,1,5.6,0,0,Peru,Android,1
503594,15,3.57,214.32,10,0,,1,1,Colombia,Android,0
504518,4,1.35,270.02,68,0,,1,0,Espana,iOS,1
501921,20,1.16,275.87,45,0,,0,0,Mexico,iOS,0
503403,11,2.09,439.85,20,0,,0,0,Argentina,Android,0
505192,10,1.82,273.03,72,1,7.6,0,0,Chile,Android,0
501729,11,1.53,173.43,37,1,6.5,0,1,Republica Dominicana,iOS,0
500677,11,2.55,357.8,10,0,,0,0,Mexico,Android,0
500883,9,3.49,161.09,20,3,8.7,0,0,Espana,iOS,0
503745,6,4.6,265.13,56,1,8.6,0,1,Espana,iOS,0
501344,21,3.21,54.67,25,0,,1,1,Colombia,iOS,1
503699,19,1.7,299.47,87,2,8.2,1,0,Peru,Android,1
500049,23,4.37,139.21,44,0,,0,0,Peru,Android,0
503532,17,2.89,134.68,36,0,,0,0,Chile,iOS,0
503963,22,5.05,271.04,82,2,5.9,0,0,Chile,Android,0
500832,9,8.12,397.49,69,0,,1,1,Espana,Android,0
505623,17,1.42,78.34,38,0,,1,1,Espana,iOS,0
503642,27,1.8,224.47,11,2,6.4,0,1,Colombia,iOS,0
501142,8,7.16,159.79,5,0,,1,0,Peru,Android,0
503479,11,2.67,397.16,0,0,,0,0,Espana,Android,0
502871,23,3.74,149.92,18,1,8.5,0,0,Chile,iOS,0
503634,13,0.43,258.39,19,0,,0,0,Republica Dominicana,iOS,1
501802,34,0.71,248.07,39,1,8.5,1,0,Republica Dominicana,Android,0
500526,41,1.53,171.31,10,0,,1,0,Colombia,Android,0
503136,15,1.65,192.09,112,0,,0,0,Espana,Android,0
502067,34,1.51,553.48,12,1,6.1,1,1,Mexico,Android,0
502323,6,6.89,116.94,61,0,,1,1,Mexico,iOS,1
505947,5,0.88,107.47,23,0,,1,0,Mexico,iOS,1
503233,14,1.65,150.47,45,0,,0,0,Republica Dominicana,Android,0
504431,9,4.3,83.85,36,2,5.5,0,1,Argentina,iOS,0
505252,7,3.17,554.23,47,0,,0,0,Chile,Android,1
505560,5,1.61,585.42,25,1,4.7,1,1,Mexico,Android,0
504482,22,3.42,413.23,40,2,6.1,0,0,Colombia,Android,1
504856,15,1.24,255.95,20,0,,0,0,Peru,iOS,0
505088,5,2.73,53.18,16,2,6.5,1,0,Argentina,Android,0
505983,9,0.37,622.7,21,1,7.9,1,0,Chile,Android,0
501307,8,4.41,383.5,66,0,,1,0,Espana,Android,0
503971,27,0.84,110.64,42,0,,1,0,Chile,Android,0
503670,8,3.47,247.54,24,1,10.0,0,0,Panama,iOS,0
501013,11,1.23,518.9,8,1,10.0,0,0,Mexico,iOS,0
502707,28,1.09,324.6,27,3,7.6,1,0,Argentina,Android,0
502319,15,1.63,875.28,25,0,,0,0,Peru,iOS,1
503603,10,0.86,106.08,42,1,6.0,0,0,Mexico,iOS,0
504605,9,1.23,263.98,49,0,,0,0,Mexico,iOS,0
504677,21,1.05,495.28,14,0,,0,0,Mexico,Android,0
501091,25,0.92,373.26,74,0,,0,0,Espana,Android,1
504601,35,12.23,580.78,7,2,5.2,1,0,Panama,Android,0
500095,1,8.61,186.19,28,1,6.2,0,1,Peru,Android,0
500337,22,4.88,405.3,55,1,4.6,0,0,Panama,iOS,1
505455,9,2.92,140.08,43,1,7.3,0,1,Chile,iOS,0
502377,7,2.22,466.21,44,2,3.9,0,1,Mexico,Android,1
500727,13,0.72,863.58,21,1,5.8,1,0,Chile,Android,0
501947,13,1.78,62.99,3,0,,0,0,Espana,Android,0
504235,10,4.13,361.08,27,1,4.4,1,1,Mexico,Android,0
501760,18,1.96,150.53,19,0,,1,0,Colombia,Android,0
500929,11,3.15,153.47,7,2,8.4,1,1,Mexico,iOS,0
501696,14,1.93,183.39,49,0,,0,0,Chile,Android,0
500336,18,3.66,303.19,26,0,,0,0,Argentina,Android,0
502670,4,3.96,263.31,5,0,,0,1,Chile,iOS,0
500441,16,1.64,179.64,22,0,,1,0,Argentina,Android,0
501132,25,1.54,424.62,31,1,6.4,0,0,Mexico,Android,0
500598,9,4.49,94.01,23,1,7.5,0,0,Republica Dominicana,Android,1
502780,31,1.96,360.33,113,0,,0,1,Mexico,Android,0
502385,31,4.96,242.46,92,1,8.3,0,1,Mexico,Android,0
505446,8,4.49,516.33,24,0,,1,1,Peru,Android,0
503808,3,5.77,106.82,25,1,5.9,1,1,Republica Dominicana,Android,0
500558,26,2.07,79.91,171,0,,1,0,Panama,iOS,1
505837,8,2.03,69.85,52,0,,1,0,Panama,Android,0
502975,17,4.12,526.89,58,0,,0,0,Argentina,iOS,0
503354,21,1.92,126.51,38,0,,1,1,Mexico,Android,0
501973,3,1.32,225.97,27,1,5.4,0,0,Republica Dominicana,Android,0
501530,15,7.32,272.78,16,0,,0,0,Mexico,Android,0
501231,20,2.57,252.77,39,0,,0,0,Peru,Android,0
501331,19,0.73,86.96,10,0,,1,1,Mexico,Android,0
504412,9,3.03,177.08,24,1,8.1,0,0,Mexico,Android,1
501129,10,1.57,226.97,56,1,5.2,1,1,Espana,Android,0
505665,15,3.36,307.74,9,0,,1,1,Mexico,Android,0
501080,21,3.35,67.9,12,0,,0,0,Colombia,Android,0
505108,5,2.59,394.48,8,0,,0,0,Republica Dominicana,Android,0
503342,17,2.2,615.72,17,0,,0,1,Colombia,Android,0
500318,8,4.15,254.16,62,3,7.4,1,0,Colombia,Android,1
504776,10,7.46,165.94,18,0,,0,0,Mexico,iOS,0
505795,16,2.69,98.25,28,1,9.5,0,0,Espana,iOS,1
502409,9,0.54,325.87,69,0,,0,0,Colombia,Android,0
500438,8,1.74,112.91,41,0,,0,0,Espana,Android,0
503232,13,0.67,247.6,37,0,,0,1,Panama,Android,0
505867,32,0.74,204.93,52,3,8.5,1,0,Peru,Android,1
502172,9,5.58,146.43,35,0,,1,1,Argentina,Android,0
500107,2,0.92,311.94,19,2,7.3,0,0,Mexico,iOS,0
504726,8,3.31,542.89,146,0,,0,0,Argentina,Android,1
504291,15,2.14,686.8,49,0,,0,1,Panama,iOS,0
503272,5,0.9,309.69,54,3,8.5,1,0,Mexico,iOS,0
503801,8,1.28,213.52,41,0,,1,0,Espana,iOS,0
505334,15,10.35,321.4,47,0,,0,0,Colombia,iOS,0
502088,21,2.46,83.37,7,0,,1,0,Colombia,Android,0
501289,13,0.33,274.93,27,1,5.3,0,0,Colombia,Android,0
500476,7,1.42,152.07,46,0,,0,1,Espana,iOS,0
504606,18,5.53,46.52,44,2,5.3,0,0,Colombia,Android,0
500543,8,6.2,584.11,24,0,,1,0,Espana,Android,0
505284,17,0.83,218.39,31,0,,1,0,Republica Dominicana,iOS,0
504813,23,4.48,170.65,8,2,5.1,0,0,Argentina,Android,0
505304,32,1.53,108.26,19,1,7.0,0,1,Panama,Android,0
504389,22,3.65,307.32,64,1,5.2,0,0,Espana,Android,1
505832,14,2.51,363.24,42,0,,1,0,Colombia,Android,0
502118,11,0.47,195.69,26,0,,1,1,Mexico,iOS,0
503000,19,5.2,575.18,80,1,8.8,0,1,Colombia,iOS,0
504978,14,4.7,523.88,23,0,,0,0,Mexico,iOS,0
505830,1,0.35,66.28,32,0,,1,0,Argentina,iOS,0
501349,22,3.71,171.73,12,2,8.3,0,0,Espana,Android,0
503027,8,5.4,332.7,22,1,6.4,0,0,Espana,iOS,0
500716,8,6.9,81.9,12,1,8.5,0,1,Peru,iOS,0
505657,5,3.88,312.09,24,0,,0,1,Argentina,Android,0
501675,36,0.21,143.28,63,2,6.2,0,0,Argentina,Android,1
505718,14,2.05,118.77,113,0,,0,1,Peru,Android,0
502789,12,2.91,136.58,37,0,,1,0,Colombia,Android,0
503438,31,2.59,227.64,52,1,10.0,1,0,Espana,Android,0
502830,13,0.96,437.88,8,0,,1,1,Chile,iOS,0
503070,6,1.39,277.89,23,0,,1,0,Chile,Android,1
501550,19,4.19,187.89,6,0,,0,0,Mexico,iOS,0
502542,27,4.22,332.77,33,0,,1,1,Espana,Android,0
504664,7,3.01,30.55,101,0,,1,0,Colombia,iOS,1
502283,8,2.05,335.2,23,0,,0,0,Mexico,Android,0
500896,15,2.4,680.19,116,2,7.3,1,0,Mexico,iOS,1
505272,11,1.37,728.23,35,0,,0,1,Mexico,Android,0
500307,3,5.12,335.31,55,0,,0,0,Espana,iOS,0
504488,26,4.74,62.35,5,3,10.0,0,0,Argentina,iOS,0
501579,7,1.4,284.09,15,0,,0,0,Colombia,iOS,0
500044,16,6.28,188.44,29,1,9.4,0,0,Argentina,Android,1
503723,12,3.06,69.5,60,1,9.8,0,0,Espana,iOS,0
504050,22,5.87,97.07,15,1,7.2,1,0,Mexico,Android,0
500911,46,2.59,53.77,28,1,8.3,1,0,Mexico,Android,1
505251,43,5.7,324.1,44,0,,0,0,Colombia,iOS,0
505069,18,1.84,856.53,6,0,,1,0,Panama,Android,0
505211,1,1.39,475.92,19,1,8.7,1,0,Espana,Android,0
504576,25,2.83,451.75,51,1,4.8,0,0,Peru,iOS,0
500915,15,2.88,249.13,39,1,7.7,0,0,Republica Dominicana,iOS,0
503450,13,0.8,234.48,37,1,6.8,0,0,Mexico,Android,1
501849,2,1.56,378.84,24,1,7.0,0,0,Argentina,Android,0
504388,20,1.99,426.73,3,3,7.6,0,1,Espana,Android,0
504270,14,5.37,619.81,16,1,5.6,0,0,Espana,iOS,0
500227,13,1.32,251.91,34,0,,1,0,Mexico,iOS,0
501478,4,4.11,96.22,30,0,,1,1,Colombia,Android,0
501427,12,1.52,583.51,46,0,,0,1,Mexico,Android,0
501627,12,1.86,168.71,12,0,,0,0,Espana,Android,0
500955,9,4.69,469.21,16,0,,0,0,Peru,Android,0
503889,24,1.13,351.9,68,0,,1,0,Argentina,Android,1
505618,6,0.68,153.61,54,0,,0,0,Espana,Android,1
503146,5,1.22,118.17,11,1,6.7,0,0,Mexico,iOS,0
500177,4,3.92,340.52,36,0,,0,1,Panama,Android,0
503154,8,1.17,183.87,72,2,6.8,0,0,Republica Dominicana,Android,0
501732,12,3.29,305.8,30,1,10.0,0,0,Peru,Android,0
502758,21,2.95,317.63,26,0,,1,0,Mexico,iOS,0
504468,26,1.87,618.4,58,0,,1,1,Espana,Android,0
501292,27,0.7,28.65,54,0,,0,0,Peru,Android,0
503315,20,1.19,627.42,22,1,8.1,0,0,Republica Dominicana,iOS,0
500411,26,2.31,316.04,22,0,,0,0,Colombia,Android,0
505716,3,1.1,425.18,4,0,,0,0,Mexico,Android,0
500062,7,0.54,424.64,8,0,,1,0,Colombia,Android,0
504654,9,7.76,92.18,69,0,,0,0,Panama,Android,0
505046,49,1.25,160.5,28,0,,0,0,Republica Dominicana,Android,0
503986,8,3.75,316.37,2,0,,0,0,Espana,Android,0
503528,7,4.42,515.95,38,0,,0,1,Panama,iOS,0
501318,17,1.45,117.92,6,0,,1,0,Argentina,Android,0
501340,6,3.22,543.72,59,0,,0,0,Republica Dominicana,Android,1
504255,6,2.42,200.31,20,0,,0,0,Colombia,Android,0
503193,9,8.1,288.94,41,0,,0,1,Espana,iOS,0
505627,4,2.04,195.25,13,0,,0,0,Argentina,Android,0
500468,12,2.23,318.53,3,1,6.2,0,0,Mexico,iOS,1
503553,14,2.11,99.5,79,0,,0,0,Mexico,Android,1
502837,22,2.71,371.61,30,1,8.2,1,0,Peru,Android,0
501256,24,1.31,264.62,25,1,6.7,1,1,Chile,Android,0
503432,21,5.25,179.94,69,1,10.0,0,1,Chile,iOS,0
502002,11,3.22,197.99,17,1,6.9,0,0,Republica Dominicana,Android,0
505086,10,4.93,15.0,49,0,,0,1,Colombia,Android,0
503799,16,0.9,159.11,23,0,,1,0,Panama,iOS,0
501220,21,2.89,552.99,8,1,5.3,0,1,Argentina,Android,0
502297,3,2.54,201.95,14,0,,0,0,Colombia,Android,0
503908,16,0.93,385.16,48,0,,0,1,Republica Dominicana,Android,0
505792,10,1.07,363.63,70,0,,1,0,Chile,iOS,0
501239,19,0.33,251.13,31,2,4.0,0,0,Chile,Android,1
500489,24,0.87,519.15,142,1,5.7,0,0,Espana,Android,1
501628,8,1.1,142.44,28,1,5.0,0,0,Chile,Android,0
504913,26,1.17,344.33,16,0,,0,0,Mexico,iOS,0
505341,9,8.24,192.27,16,1,7.6,1,0,Republica Dominicana,Android,0
502606,21,2.61,93.67,16,1,6.9,0,0,Mexico,Android,0
502785,4,1.65,179.09,26,1,9.3,0,1,Chile,Android,0
504750,14,3.6,344.36,34,1,6.4,0,0,Colombia,iOS,0
501580,15,0.95,371.57,33,0,,0,0,Espana,Android,0
502853,8,2.2,99.88,26,1,8.4,0,1,Chile,iOS,0
503087,37,4.26,168.91,10,0,,0,0,Espana,iOS,0
505722,2,0.61,173.87,23,0,,1,0,Colombia,iOS,0
502273,25,7.36,165.13,24,0,,1,0,Panama,Android,0
505134,5,3.49,126.83,49,0,,0,0,Chile,Android,0
501645,14,3.9,148.25,26,1,6.1,0,0,Mexico,Android,0
501325,20,3.68,42.47,10,0,,0,1,Chile,Android,0
504985,7,0.88,387.55,41,0,,1,0,Espana,Android,0
500374,32,4.96,294.93,23,0,,0,0,Panama,iOS,0
500213,37,4.99,626.28,11,0,,0,0,Mexico,iOS,0
501382,3,2.59,215.46,65,0,,0,0,Republica Dominicana,Android,1
504341,2,4.3,121.9,18,0,,1,0,Republica Dominicana,iOS,0
504825,3,2.68,202.96,19,0,,0,1,Colombia,iOS,0
504541,5,2.27,38.76,53,0,,0,0,Colombia,Android,1
504526,16,3.85,655.24,31,1,5.3,1,0,Mexico,Android,0
503186,3,2.99,327.18,19,1,7.4,1,0,Mexico,Android,0
503059,6,1.98,132.97,6,0,,0,0,Colombia,iOS,0
503610,12,0.66,151.53,33,0,,1,0,Chile,Android,1
505641,40,1.51,404.0,48,0,,1,0,Colombia,iOS,0
504779,11,5.51,242.6,18,1,3.7,1,1,Republica Dominicana,Android,0
501107,3,2.87,277.68,26,0,,0,0,Chile,Android,0
504014,18,3.68,187.34,3,0,,0,0,Argentina,Android,1
504021,17,2.65,430.47,47,0,,1,1,Colombia,iOS,0
504922,9,3.99,289.58,24,0,,0,0,Panama,Android,0
